,ppr
0,750.0
1,741.0
2,731.6666666666666
3,719.5
4,712.2
5,705.0
6,694.8571428571429
7,684.0
8,669.2222222222222
9,652.9
10,634.3636363636364
11,616.75
12,601.8461538461538
13,584.9285714285714
14,562.6
15,540.3125
16,520.6470588235294
17,503.1587301587302
18,487.5037593984963
19,473.40714285714296
20,460.6462585034014
21,452.45454545454544
22,447.60869565217394
23,442.625
24,436.6
25,433.7692307692308
26,430.0740740740741
27,424.9642857142857
28,422.0344827586207
29,419.1666666666667
30,415.5483870967742
31,412.65625
32,408.8787878787879
33,405.70588235294116
34,403.37142857142857
35,400.1666666666667
36,397.9189189189189
37,395.57894736842104
38,393.56410256410254
39,392.15
40,388.9024390243902
41,385.8095238095238
42,384.1162790697674
43,382.29545454545456
44,380.64444444444445
45,378.9347826086956
46,376.8936170212766
47,375.8958333333333
48,375.18367346938777
49,373.24
50,371.5098039215686
51,369.25
52,367.64150943396226
53,366.51851851851853
54,365.4727272727273
55,364.17857142857144
56,362.87719298245617
57,361.7068965517241
58,361.271186440678
59,360.1666666666667
60,358.39344262295083
61,357.66129032258067
62,356.968253968254
63,356.671875
64,356.44615384615383
65,356.2878787878788
66,356.4029850746269
67,355.80882352941177
68,354.7826086956522
69,353.9714285714286
70,353.36619718309856
71,352.7916666666667
72,352.041095890411
73,351.4054054054054
74,350.74666666666667
75,350.1578947368421
76,349.0779220779221
77,348.6794871794872
78,347.8607594936709
79,347.0625
80,346.28395061728395
81,345.3780487804878
82,344.13253012048193
83,344.1904761904762
84,343.90588235294115
85,343.1511627906977
86,342.62068965517244
87,342.29545454545456
88,341.6629213483146
89,341.76666666666665
90,341.42857142857144
91,340.60869565217394
92,340.39784946236557
93,340.25531914893617
94,340.11578947368423
95,339.6770833333333
96,339.21649484536084
97,338.8061224489796
98,338.0
99,338.0
100,337.63366336633663
101,337.4019607843137
102,337.747572815534
103,337.3076923076923
104,337.22857142857146
105,337.0566037735849
106,336.7196261682243
107,336.49074074074076
108,336.3669724770642
109,336.5
110,336.27027027027026
111,336.0892857142857
112,335.85840707964604
113,335.6578947368421
114,335.61739130434785
115,335.73275862068965
116,335.4957264957265
117,335.5
118,335.10084033613447
119,334.93333333333334
120,334.8512396694215
121,334.8688524590164
122,334.4308943089431
123,334.4274193548387
124,334.352
125,334.3412698412698
126,334.33858267716533
127,334.046875
128,333.7906976744186
129,333.61538461538464
130,333.44274809160305
131,333.32575757575756
132,332.83458646616543
133,332.43283582089555
134,332.4592592592593
135,332.3529411764706
136,331.963503649635
137,331.7028985507246
138,331.44604316546764
139,331.3
140,331.02127659574467
141,331.0
142,330.86713286713285
143,330.7291666666667
144,330.3379310344828
145,330.3013698630137
146,330.0
147,329.93243243243245
148,329.86577181208054
149,329.5933333333333
150,329.3973509933775
151,329.4013157894737
152,329.05882352941177
153,329.0064935064935
154,328.71612903225804
155,328.65384615384613
156,328.4267515923567
157,328.09493670886076
158,327.84276729559747
159,327.55625
160,327.3167701863354
161,327.51234567901236
162,327.5950920245399
163,327.5243902439024
164,327.43030303030304
165,327.22289156626505
166,327.1437125748503
167,327.11309523809524
168,326.97633136094674
169,326.8764705882353
170,326.67836257309943
171,326.6744186046512
172,326.8034682080925
173,327.0287356321839
174,327.01714285714286
175,327.10795454545456
176,327.2146892655367
177,327.23595505617976
178,327.1005586592179
179,326.9
180,326.6629834254144
181,326.52197802197804
182,326.4972677595628
183,326.6141304347826
184,326.44864864864866
185,326.3333333333333
186,326.2994652406417
187,326.25531914893617
188,325.962962962963
189,325.7631578947368
190,325.565445026178
191,325.4947916666667
192,325.19170984455957
193,324.8917525773196
194,324.89230769230767
195,324.78061224489795
196,324.79695431472084
197,324.7121212121212
